ID,NAME,SCL_LVL,SCL_TP,BRD_NAME,SCL_TP_DSC,ADD_FULL,POSTAL_CD,MUN,LATITUDE,LONGITUDE
902,ROBBINS HEBREW ACADEMY - BATHURST CAMPUS,,PR,,Private,1700 Bathurst St,M5P 3K3,York,43.6954813,-79.4244248
903,ROYAL CROWN ACADEMIC SCHOOL,,PR,,Private,245 Fairview Mall Dr,M2J 4T1,North York,43.77973766,-79.34186462
904,SALAHEDDIN ISLAMIC,,PR,,Private,741 Kennedy Rd,M1K 2C6,Scarborough,43.7308963,-79.26600575
905,SATHYA SAI,,PR,,Private,505 Ellesmere Rd,M1R 4E5,Scarborough,43.76233169,-79.29491458
906,SCARBOROUGH CHRISTIAN,,PR,,Private,95 Jonesville Cres,M4A 1H2,North York,43.72360365,-79.3100443
907,SCUOLA MATERNA,,PR,,Private,100 Allanhurst Dr,M9A 4K4,Etobicoke,43.68015621,-79.5194768
908,ASSOCIATED HEBREW JR,,PR,,Private,18 Neptune Dr,M6A 1X1,North York,43.73150798,-79.43425589
909,AVALON CHILDREN'S MONTESSORI,,PR,,Private,140 Wineva Ave,M4E 2T4,former Toronto,43.67148967,-79.29633252
910,BAIS BRUCHA GIRLS,,PR,,Private,3077 Bathurst St,M6A 1Z9,North York,43.71993598,-79.42957024
911,BAIS CHAYA MUSHKA GIRLS,,PR,,Private,4375 Chesswood Dr,M3J 2C2,North York,43.76071682,-79.47744525
912,KOHAI EDUCATIONAL CENTRE,,PR,,Private,41 Roehampton Ave,M4P 1P9,former Toronto,43.70810617,-79.39713757
913,LA CITADELLE INTERNATIONAL ACADEMY OF ARTS & SCIENCES,,PR,,Private,36 Scarsdale Rd,M3B 2R7,North York,43.74746789,-79.35471066
914,LAUREL ACADEMY SCHOOL,,PR,,Private,44 Upjohn Rd,M3B 2W1,North York,43.75128804,-79.3500069
915,LEONARDO DA VINCI ACADEMY OF ARTS AND SCIENCES,,PR,,Private,100 Allanhurst Dr,M9A 4K4,Etobicoke,43.68015621,-79.5194768
916,LUBAVITCH YESHIVA HS,,PR,,Private,3055 Bathurst St,M6B 3B7,North York,43.71885113,-79.42928525
917,LYCEE FRANCAIS DE TORONTO,,PR,,Private,2327 Dufferin St,M6E 3S5,York,43.69364593,-79.44855647
918,MADINATUL-ULOOM ISLAMIC BOYS AND PRIMARY,,PR,,Private,670 Progress Ave,M1H 3A4,Scarborough,43.77775211,-79.2501132
919,MADINATUL-ULOOM ISLAMIC GIRLS,,PR,,Private,700 Progress Ave,M1H 2Z7,Scarborough,43.7782146,-79.24791406
920,MADRESATUL BANAAT ALMUSLIMAAT,,PR,,Private,10 Vulcan St,M9W 1L2,Etobicoke,43.70526727,-79.57863676
921,MANOR MONTESSORI - DESAVERY CR,,PR,,Private,14 De-Savery Cres,M4S 2L2,former Toronto,43.70310058,-79.38984202
922,MARIA MONTESSORI,,PR,,Private,125 Brentcliffe Rd,M4G 3Y7,East York,43.71738739,-79.36306234
923,MARIYAH ISLAMIC SCHOOL,,PR,,Private,1160 Birchmount Rd,M1P 2B8,Scarborough,43.74113458,-79.28383197
924,MARY MOTHER OF GOD,,PR,,Private,1515A Queen St W,M6R 1A5,former Toronto,43.63929398,-79.4414432
925,BAIS CHOMESH HS FOR GIRLS,,PR,,Private,3600 Bathurst St,M6A 2C9,North York,43.73112439,-79.4330802
926,BANNOCKBURN MONTESSORI,,PR,,Private,12 Bannockburn Ave,M5M 2M8,North York,43.73403159,-79.42209327
927,BEACH HEBREW INSTITUTE,,PR,,Private,109 Kenilworth Ave,M4L 3S4,former Toronto,43.66931924,-79.30146062
928,BLOORVIEW SCHOOL AUTHORITY,,PR,,Private,150 Kilgour Rd,M4G 1R8,North York,43.71841819,-79.37296622
929,BNOS BAIS YAAKOV SCHOOL FOR GIRLS,,PR,,Private,2949 Bathurst St,M6B 3B2,North York,43.71653817,-79.4288236
930,BOND ACADEMY,,PR,,Private,1500 Birchmount Rd,M1P 2G5,Scarborough,43.75653182,-79.29031492
931,BRAEMAR COLLEGE PRIVATE SECONDARY,,PR,,Private,229 College St,M5T 1R4,former Toronto,43.65813552,-79.39751642
932,IMPERIAL COLLEGE OF CANADA,,PR,,Private,20 Queen Elizabeth Blvd,M8Z 1L8,Etobicoke,43.62304982,-79.5042279
933,INTEGRAL HIGH,,PR,,Private,323 Cummer Ave,M2M 2E8,North York,43.79009299,-79.40245826
934,INTEGRITY CHRISTIAN ACADEMY,,PR,,Private,1970 Ellesmere Rd,M1H 2W1,Scarborough,43.77638534,-79.23851108
935,ISLAMIC EDUCATION GUIDANCE CENTRE,,PR,,Private,40 South Station St,M9N 2B3,York,43.70103161,-79.51692999
936,ISLAMIC FOUNDATION SCHOOL,,PR,,Private,441 Nugget Ave,M1S 5E1,Scarborough,43.79798697,-79.24175243
937,ISLAMIC INSTITUTE OF TORONTO ACADEMY SCHOOL,,PR,,Private,1630 Neilson Rd,M1X 1S3,Scarborough,43.81839492,-79.23016031
938,J D GRIFFIN ADOLESCENT CENTRE,,PR,,Private,24 Silverview Dr,M2M 2B3,North York,43.78631511,-79.41184641
939,HILLCREST PROGRESSIVE,,PR,,Private,59 Plymbridge Rd,M2P 1A2,North York,43.74073182,-79.39773111
940,"KEW PARK MONTESSORI, HIAWATHA",,PR,,Private,79 Hiawatha Rd,M4L 2X7,former Toronto,43.67091163,-79.32209363
941,KEW PARK MONTESSORI. BELLEFAIR,,PR,,Private,2 Bellefair Ave,M4L 3T8,former Toronto,43.67041754,-79.30026498
942,KING GEORGE INTERNATIONAL COLLEGE (ESL),,PR,,Private,150 Eglinton Ave E,M4P 1E8,former Toronto,43.70790627,-79.39400679
943,KINGSLEY PRIMARY,,PR,,Private,516 The Kingsway,M9A 3W6,Etobicoke,43.67358498,-79.5481943
944,KINGSWAY COLLEGE,,PR,,Private,4600 Dundas St W,M9A 1A5,Etobicoke,43.65694341,-79.52123402
945,MCDONALD INTERNATIONAL ACADEMY,,PR,,Private,920 Yonge St,M4W 3C7,former Toronto,43.67411181,-79.38899845
946,METAMORPHOSIS GREEK ORTHODOX,,PR,,Private,30 Scarsdale Rd,M3B 2R7,North York,43.74668871,-79.35487305
947,METROPOLITAN PREPARATORY ACADEMY,,PR,,Private,49 Mobile Dr,M4A 1H5,North York,43.72401965,-79.318304
948,THE TORONTO FRENCH SCHOOL - SR LAWRENCE,,PR,,Private,318 Lawrence Ave E,M4N 1T7,North York,43.72797286,-79.38326226
949,UNIVERSITY OF TORONTO SCHOOLS,,PR,,Private,371 Bloor St W,M5S 2R7,former Toronto,43.66657078,-79.40250854
950,VOICE INTERMEDIATE PRIVATE SCHOOL,,PR,,Private,50 Gristmill Lane,M5A 3C4,former Toronto,43.650058,-79.35990525
951,"WHITEFIELD CHRISTIAN, BLDG 1",,PR,,Private,5808 Finch Ave E,M1B 4Y6,Scarborough,43.81632541,-79.22961247
952,"WHITEFIELD CHRISTIAN, BLDG 2",,PR,,Private,5810 Finch Ave E,M1B 4Y6,Scarborough,43.81645623,-79.22885997
953,WILLOW WOOD,,PR,,Private,55 Scarsdale Rd,M3B 2R3,North York,43.74838983,-79.3534877
954,WILLOWDALE CHRISTIAN,,PR,,Private,60 Hilda Ave,M2M 1V5,North York,43.78644283,-79.4250091
955,YESHIVA ATERES YISRAEL,,PR,,Private,84 Stormont Ave,M5N 2C2,North York,43.71892009,-79.42849107
956,DOWNTOWN JEWISH COMMUNITY SCHOOL,,PR,,Private,750 Spadina Ave,M5S 2J2,former Toronto,43.66621517,-79.4040655
957,DR ABRAHAM SHORE SHE'AIRM HEBREW ACADEMY,,PR,,Private,4588 Bathurst St,M2R 1W6,North York,43.76283184,-79.44166888
958,SUNNYBROOK,,PR,,Private,469 Merton St,M4S 1B4,former Toronto,43.69876526,-79.38259915
959,SUON ACADEMY,,PR,,Private,5 Queenslea Ave,M9N 3X9,North York,43.71057925,-79.51168783
960,SUON INTERNATIONAL ACADEMY,,PR,,Private,70 Chartwell Rd,M8Z 4G6,Etobicoke,43.63056506,-79.51379749
961,TAIE INTERNATIONAL INSTITUTE,,PR,,Private,296 Parliament St,M5A 3A4,former Toronto,43.65874865,-79.36602245
962,TAYYIBAH ISLAMIC ACADEMY INC.,,PR,,Private,100 McLevin Ave,M1B 5K1,Scarborough,43.80156256,-79.23657828
963,TEMPLE SINAI RELIGIOUS AND PRESCHOOL,,PR,,Private,210 Wilson Ave,M5M 3B1,North York,43.73961395,-79.42555957
964,THE ABELARD CENTRE FOR EDUCATION,,PR,,Private,203 College St,M5T 1P9,former Toronto,43.65857416,-79.39532277
965,THE ANNE AND MAX TANENBAUM COMMUNITY HEBREW ACADEMY OF TORONTO,,PR,,Private,200 Wilmington Ave,M3H 5J8,North York,43.76190402,-79.45721648
966,THE DRAGON ACADEMY,,PR,,Private,35 Prince Arthur Ave,M5R 1B2,former Toronto,43.66920767,-79.39706883
967,THE GILES,,PR,,Private,33 Overland Dr,M3C 2C3,North York,43.73207753,-79.34746174
968,THE GREAT LAKES COLLEGE,,PR,,Private,323 Keele St,M6P 2K6,former Toronto,43.66416688,-79.46369671
969,THE JUNIOR ACADEMY INC,,PR,,Private,235 McRae Dr,M4G 1T6,East York,43.70880217,-79.36462404
970,THE LINDEN,,PR,,Private,10 Rosehill Ave,M4T 1G5,former Toronto,43.68653242,-79.39271585
971,THE MABIN SCHOOL,,PR,,Private,50 Poplar Plains Rd,M4V 2M8,former Toronto,43.679116,-79.40338326
972,THE PRESTIGE SCHOOL,,PR,,Private,21 Eddfield Ave,M2N 2M5,North York,43.76092576,-79.4283298
973,THE STERLING HALL SCHOOL,,PR,,Private,99 Cartwright Ave,M6A 1V4,North York,43.72204228,-79.46362351
974,THE STUDY SCHOOL,,PR,,Private,20 Glebe Rd E,M4S 1N6,former Toronto,43.70157481,-79.39628052
975,THE TORONTO FRENCH SCHOOL - JR LAWRENCE,,PR,,Private,296 Lawrence Ave E,M4N 1T7,North York,43.72841087,-79.38501314
976,THE TORONTO FRENCH SCHOOL - JR MILDENHALL,,PR,,Private,101 Mildenhall Rd,M4N 3H4,North York,43.7293191,-79.38659888
977,THE TORONTO HESCHEL SCHOOL,,PR,,Private,819 Sheppard Ave W,M3H 2T3,North York,43.75234817,-79.45085155
978,THE VILLAGE SHUL SUPPL SCHOOL,,PR,,Private,1072 Eglinton Ave W,M6C 2E2,former Toronto,43.69999512,-79.43143779
979,THE YMCA ACADEMY,,PR,,Private,42 Charles St E,M4Y 1T1,former Toronto,43.66930086,-79.38417091
980,THE YORK - JR (GRADES JK - 5),,PR,,Private,1639 Yonge St,M4T 2W6,former Toronto,43.69179937,-79.39494627
981,THE YORK - MDL AND SR (GRADES 6 - 12),,PR,,Private,1320 Yonge St,M4T 1X2,former Toronto,43.68460946,-79.39306835
982,THE YOUNG ARTIST PERFORMANCE ACADEMY,,PR,,Private,273 Bloor St W,M5S 1W2,former Toronto,43.6678563,-79.39605881
983,TIFERES BAIS YAAKOV HIGH,,PR,,Private,3101 Bathurst St,M6A 2A6,North York,43.72112619,-79.42984256
984,TIMOTHY CHRISTIAN,,PR,,Private,28 Elmhurst Dr,M9W 2J5,Etobicoke,43.72495333,-79.55369588
985,TORONTO CHEDER BOYS,,PR,,Private,3995 Bathurst St,M3H 5V3,North York,43.74414011,-79.43530118
986,TORONTO COLLEGIATE INSTITUTE,,PR,,Private,2100 Ellesmere Rd,M1H 3B7,Scarborough,43.77694764,-79.23317876
987,TORONTO FRENCH MONTESSORI SCHOOL,,PR,,Private,432 Sheppard Ave E,M2N 3B7,North York,43.76653837,-79.39127853
988,TORONTO INDEPENDENT HIGH,,PR,,Private,151 Eglinton Ave W,M4R 1A6,former Toronto,43.70541452,-79.40343516
989,TORONTO PREP SCHOOL,,PR,,Private,250 Davisville Ave,M4S 1H2,former Toronto,43.70061943,-79.38652043
990,"TORONTO SCHOOL OF THEOLOGY, U OF T BLDG 434",,PR,,Private,47 Queen's Park Cres E,M5S 2C3,former Toronto,43.66473105,-79.3906566
991,TYNDALE UNIVERSITY COLLEGE AND SEMINARY SCHOOL - BALLYCONNOR CAMPUS,,PR,,Private,25 Ballyconnor Crt,M2M 4B3,North York,43.79988151,-79.38530376
992,TYNDALE UNIVERSITY COLLEGE AND SEMINARY SCHOOL - BAYVIEW CAMPUS,,PR,,Private,3377 Bayview Ave,M2M 3S4,North York,43.79714553,-79.39208386
993,ULPANAT OROT GIRLS,,PR,,Private,45 Canyon Ave,M3H 3S4,North York,43.75822667,-79.43821784
994,UMOJA LEARNING CIRCLE,,PR,,Private,2481 Islington Ave,M9W 3X9,Etobicoke,43.72819838,-79.56083424
995,UPPER CANADA PREP,,PR,,Private,220 Lonsdale Rd,M4V 2X8,former Toronto,43.6906477,-79.40476501
996,YESHIVA BNEI TZION OF BOBOV,,PR,,Private,44 Champlain Blvd,M3H 2Z1,North York,43.7327056,-79.44401147
997,OXFORD LEARNING CENTRE -  BAYVIEW WOODS,,PR,,Private,5845-5955 Leslie St,M2H 1J8,North York,43.79835467,-79.36961576
998,OXFORD LEARNING CENTRE  - DANFORTH,,PR,,Private,784 Broadview Ave,M4K 2P7,former Toronto,43.67706728,-79.35911204
999,OXFORD LEARNING CENTRE  - ETOBICOKE ROYAL YORK,,PR,,Private,4195 Dundas St W,M8X 1Y4,Etobicoke,43.66010935,-79.51113788
1000,OXFORD LEARNING CENTRE  - ETOBICOKE WEST,,PR,,Private,290 The West Mall,M9C 1C6,Etobicoke,43.63465641,-79.56180512
1001,OXFORD LEARNING CENTRE  - LEASIDE,,PR,,Private,1820 Bayview Ave,M4G 4G7,former Toronto,43.71283683,-79.37769467
1002,OXFORD LEARNING CENTRE  - MARKHAM SOUTH/SCARBOROUGH,,PR,,Private,5005 Steeles Ave E,M1V 5K1,Scarborough,43.82785381,-79.28781723
1003,OXFORD LEARNING CENTRE  - NORTH YORK LAWRENCE,,PR,,Private,3130 Bathurst St,M6A 2A1,North York,43.72065359,-79.43044882
1004,OXFORD LEARNING CENTRE  - SHEPPARD,,PR,,Private,80 Sheppard Ave W,M2N 1M2,North York,43.76086432,-79.41505024
1005,OXFORD LEARNING CENTRE  - WILLOWDALE,,PR,,Private,2810 Victoria Park Ave,M2J 4A9,North York,43.78852933,-79.33057756
1006,P T MONTESSORI SCHOOL,,PR,,Private,280 Culford Rd,M6L 2V3,North York,43.71318015,-79.4908591
1007,PAUL PENNA JEWISH,,PR,,Private,750 Spadina Ave,M5S 2J2,former Toronto,43.66621517,-79.4040655
1008,PEOPLE'S CHRISTIAN ACADEMY,,PR,,Private,374 Sheppard Ave E,M2N 3B6,North York,43.76609098,-79.39353695
1009,QUEENSWAY CHRISTIAN COLLEGE AND CATHEDRAL,,PR,,Private,1536 The Queensway,M8Z 1T5,Etobicoke,43.6188598,-79.53726377
1010,A G B U ZAROUKIAN,,PR,,Private,930 Progress Ave,M1G 3T5,Scarborough,43.78296481,-79.23338895
1011,ST MICHAEL'S COLLEGE,,PR,,Private,1515 Bathurst St,M5P 3H4,York,43.68478027,-79.41758448
1012,MONTCREST,,PR,,Private,4 Montcrest Blvd,M4K 1J7,former Toronto,43.67317535,-79.35757468
1013,NAMF ISLAMIC ACADEMY,,PR,,Private,4140 Finch Ave E,M1S 3T9,Scarborough,43.8035817,-79.29015283
1014,NATIONAL BALLET SCHOOL,,PR,,Private,400 Jarvis St,M4Y 2G6,former Toronto,43.66360672,-79.37758652
1015,NEW COVENANT CHURCH SCHOOL,,PR,,Private,1800 Ellesmere Rd,M1H 2V5,Scarborough,43.7745437,-79.2448478
1016,NEW HAVEN LEARNING CTR FOR CHILDREN,,PR,,Private,301 Lanor Ave,M8W 2R1,Etobicoke,43.61092841,-79.53530707
1017,NILE ACADEMY - BLUE HAVEN CAMPUS (GIRLS),,PR,,Private,5 Blue Haven Cres,M9M 1W6,North York,43.74453019,-79.55826632
1018,NILE ACADEMY - PLUNKETT CAMPUS (BOYS),,PR,,Private,135 Plunkett Rd,M9L 2J7,North York,43.76249424,-79.57010016
1019,NORTH TORONTO ACADEMY,,PR,,Private,3293 Yonge St,M4N 2L8,former Toronto,43.73010874,-79.40314475
1020,NORTH TORONTO CHRISTIAN SCHOOL,,PR,,Private,255 Yorkland Blvd,M2J 1S3,North York,43.77344162,-79.33675392
1021,NORTHMOUNT,,PR,,Private,26 Mallard Rd,M3B 1S3,North York,43.74773092,-79.34993545
1022,OLIVET NEW CHURCH,,PR,,Private,279 Burnhamthorpe Rd,M9B 1Z6,Etobicoke,43.6500553,-79.54487504
1023,ONTARIO FOUNDATION FOR VISUALLY IMPAIRED CHILDREN,,PR,,Private,375 Colborne Lodge Dr,,former Toronto,43.65124851,-79.46349803
1024,A R S ARMENIAN PRIVATE SCHOOL,,PR,,Private,50 Hallcrown Pl,M2J 1P7,North York,43.77006166,-79.32315937
1025,ACADEMY C60,,PR,,Private,1650 Avenue Rd,M5M 3Y1,North York,43.72645977,-79.41754734
1026,ACADEMY OF EXCELLENCE,,PR,,Private,5467 Yonge St,M2N 5S1,North York,43.77782517,-79.41471443
1027,ADATH ISRAIL RELIGIOUS,,PR,,Private,37 Southbourne Ave,M3H 1A4,North York,43.73855386,-79.43122536
1028,ADELFIHA'S CHRISTIAN ACADEMY,,PR,,Private,4340 Dufferin St,M3H 5R9,North York,43.76269797,-79.46644838
1029,AFZAL ISLAMIC MONTESSORI & ACADEMY - DOWNTOWN CAMPUS,,PR,,Private,224 Parliament St,M5A 3A4,former Toronto,43.65716097,-79.36532674
1030,AFZAL ISLAMIC MONTESSORI & ACADEMY - SCARBOROUGH CAMPUS,,PR,,Private,33 Casebridge Crt,M1B 3J5,Scarborough,43.80909311,-79.19954933
1031,AGINCOURT MONTESSORI,,PR,,Private,2575 Midland Ave,M1S 1R3,Scarborough,43.78645188,-79.27870739
1032,AL AZHAR ISLAMIC SCHOOL,,PR,,Private,100 McLevin Ave,M1B 5K1,Scarborough,43.80156256,-79.23657828
1033,AL MANARA ACADEMY,,PR,,Private,86 Rivalda Rd,M9M 2M8,North York,43.74053942,-79.53595385
1034,ALAN HOWARD WALDORF,,PR,,Private,250 Madison Ave,M4V 2W6,former Toronto,43.67724127,-79.40707017
1035,ALAZHAR ACADEMY OF CANADA,,PR,,Private,2074 Kipling Ave,M9W 4J9,Etobicoke,43.71488551,-79.56921492
1036,ALPHA QUALITY EDUCATION INC,,PR,,Private,6120A Yonge St,M2M 3W7,North York,43.79162226,-79.41893208
1037,AMANAH ISLAMIC ACADEMY,,PR,,Private,499 McNicoll Ave,M2H 2C9,North York,43.80189809,-79.34075897
1038,ARBOR COLLEGE OF CANADA,,PR,,Private,141 Bond Ave,M3B 1M1,North York,43.7457197,-79.34745077
1039,ARISTOTLE'S CREDIT PROGRAM - GEORGE S HENRY,,PR,,Private,200 Graydon Hall Dr,M3A 3A6,North York,43.76435996,-79.33992003
1040,ARROWSMITH SCHOOL - BLDG 1,,PR,,Private,245 St Clair Ave W,M4V 1R3,former Toronto,43.68549791,-79.40580066
1041,ARROWSMITH SCHOOL - BLDG 2,,PR,,Private,243 St Clair Ave W,M4V 1R3,former Toronto,43.68551139,-79.40568865
1042,EASTERN CANADA HIGH SCHOOL,,PR,,Private,175 Rexdale Blvd,M9W 1P7,Etobicoke,43.7107061,-79.57046548
1043,CANADIAN CHRISTIAN HS,,PR,,Private,50 Gervais Dr,M3C 1Z3,North York,43.72533257,-79.33831497
1044,EITZ CHAIM HEBREW BOYS,,PR,,Private,475 Patricia Ave,M2R 2N1,North York,43.78381912,-79.44440739
1045,EITZ CHAIM HEBREW GIRLS,,PR,,Private,1 Viewmount Ave,M6B 1T2,North York,43.71013287,-79.42830473
1046,ELLESMERE MONTESSORI,,PR,,Private,37 Marchington Crcl,M1R 3M6,Scarborough,43.75860548,-79.30743536
1047,ELLINGTON MONTESSORI,,PR,,Private,2102 Lawrence Ave E,M1R 2Z9,Scarborough,43.74670626,-79.29046552
1048,FIELDSTONE DAY,,PR,,Private,2999 Dufferin St,M6B 3T4,North York,43.71188195,-79.45338741
1049,FOREST HILL MONTESSORI,,PR,,Private,2 Wembley Rd,M6C 2E9,former Toronto,43.70189554,-79.42606401
1050,ST CLEMENTS,,PR,,Private,21 St Clements Ave,M4R 1G8,former Toronto,43.71261022,-79.40032831
1051,GAP ACADEMY,,PR,,Private,4 John St,M9N 1J3,York,43.70092417,-79.51793734
1052,HUMBERSIDE MONTESSORI,,PR,,Private,121 Kennedy Ave,M6S 2X8,former Toronto,43.65087033,-79.47491475
1053,LEO BAECK DAY SCHOOL - SOUTH CAMPUS,,PR,,Private,501 Arlington Ave,M6C 3A4,York,43.69229533,-79.43295129
1054,NEWTON'S GROVE SCHOOL,,PR,,Private,1 City View Dr,M9W 5A5,Etobicoke,43.69134711,-79.5808315
1055,OXFORD COLLEGE OF ARTS AND BUSINESS,,PR,,Private,670 Progress Ave,M1H 3A4,Scarborough,43.77775211,-79.2501132
1056,OXFORD LEARNING CENTRE  - UNDERHILL,,PR,,Private,51 Underhill Dr,M3A 2J8,North York,43.74508786,-79.3249412
1057,A PLUS ACADEMY OF ADVANCEMENT,,PR,,Private,2976 Danforth Ave,M4C 1M6,East York,43.69065811,-79.29202417
1058,ARISTOTLE'S CREDIT PROGRAM - EASTERN,,PR,,Private,16 Phin Ave,M4J 3T2,former Toronto,43.67914883,-79.33663928
1059,ASSOCIATED HEBREW MIDDLE,,PR,,Private,252 Finch Ave W,M2R 1M9,North York,43.77532471,-79.43847321
1060,BAIS YAAKOV JR,,PR,,Private,15 Saranac Blvd,M6A 2G4,North York,43.72199174,-79.43251507
1061,BRIGHTON,,PR,,Private,240 The Donway W,M3B 2V8,North York,43.73931545,-79.34701324
1062,YESHIVA DARCHEI TORAH,,PR,,Private,40 Carl Hall Rd,M3K 2C1,North York,43.74837668,-79.47911322
1063,YESHIVA GEDOLAH OF TORONTO,,PR,,Private,70 Fairholme Ave,M6B 2W6,North York,43.7173878,-79.43548021
1064,YESHIVA NACHALAS TZVI,,PR,,Private,475 Lawrence Ave W,M5M 1C6,North York,43.71942363,-79.42788119
1065,YESHIVA OR CHAIM BNEI AKIVA BOYS SCHOOL,,PR,,Private,159 Almore Ave,M3H 2H9,North York,43.74549794,-79.44838151
1066,OXFORD LEARNING CENTRE  - HIGH PARK,,PR,,Private,2100 Bloor St W,M6S 5A5,former Toronto,43.65261214,-79.47099939
1067,THE JAPANESE SCHOOL OF TORONTO SHOKOKAI,,PR,,Private,115 Winona Dr,M6G 3S8,former Toronto,43.67808496,-79.43106521
1068,ROSEDALE DAY,,PR,,Private,131 Bloor St W,M5S 1R1,former Toronto,43.66876201,-79.39239751
1069,ROYAL ST GEORGES COLLEGE,,PR,,Private,120 Howland Ave,M5R 3B5,former Toronto,43.66955281,-79.41065712
1070,YESHIVA YESODEI HATORAH,,PR,,Private,77 Glen Rush Blvd,M5N 2T8,North York,43.71800088,-79.42586719
1071,YESHIVAS NEFESH  DOVID,,PR,,Private,567 Lawrence Ave W,M6A 1A5,North York,43.71767793,-79.43563019
1072,ROYAL CONSERVATORY OF MUSIC,,PR,,Private,273 Bloor St W,M5S 1W2,former Toronto,43.6678563,-79.39605881
1073,HAWTHORNE SCHOOL FOR GIRLS,,PR,,Private,101 Scarsdale Rd,M3B 2R2,North York,43.75156419,-79.35478464
1074,MANOR MONTESSORI - MANOR RD,,PR,,Private,240 Manor Rd E,M4S 1R8,former Toronto,43.70513387,-79.38556484
1075,MONTESSORI JEWISH DAY,,PR,,Private,55 Yeomans Rd,M3H 3J7,North York,43.74925946,-79.43984309
1076,NEW LIFE MONTESSORI,,PR,,Private,3501 Kennedy Rd,M1V 4Y3,Scarborough,43.82259183,-79.30591448
1077,OXFORD LEARNING CENTRE  - BEACHES,,PR,,Private,2171 Queen St E,M4E 1E5,former Toronto,43.6702834,-79.29778112
1078,OXFORD LEARNING CENTRE  - SCARBOROUGH EAST,,PR,,Private,91 Rylander Blvd,M1B 5M5,Scarborough,43.79775634,-79.15260067
1079,PHOENIX MONTESSORI,,PR,,Private,19 Glen Agar Dr,M9B 5L5,Etobicoke,43.66215651,-79.55154617
1080,BAYVIEW GLEN DAY CAMP,,PR,,Private,275 Duncan Mill Rd,M3B 3H9,North York,43.76091729,-79.35141286
1081,BRANKSOME HALL GIRLS,,PR,,Private,10 Elm Ave,M4W 1N4,former Toronto,43.67496943,-79.38001343
1082,CORNERSTONE ACADEMIC COLLEGE (ESL),,PR,,Private,80 Bloor St W,M5S 2V1,former Toronto,43.66989351,-79.3902019
1083,THE DUNBLAINE SCHOOL,,PR,,Private,21 Deloraine Ave,M5M 2A8,former Toronto,43.73353872,-79.40556338
1084,THE JEWISH HERITAGE SCHOOL AT CONGREGATION HABONIM (Previously called Beth Habonim),,PR,,Private,5 Glen Park Ave,M6B 4J2,North York,43.71276784,-79.42942975
1085,THE WISDOM HOUSE EDUCATION,,PR,,Private,3630 Lawrence Ave E,M1G 1P6,Scarborough,43.76087363,-79.22280391
1086,TORONTO TALMUD TORAH,,PR,,Private,147 Overbrook Pl,M3H 4R1,North York,43.76244263,-79.45787152
1087,UM AL-QURA ISLAMIC,,PR,,Private,262 Brimley Rd,M1M 3V9,Scarborough,43.73004633,-79.24555837
1088,UPPER CANADA COLLEGE,,PR,,Private,200 Lonsdale Rd,M4V 1W6,former Toronto,43.69139624,-79.40344553
1089,Academy of Math and English,,PR,,Private,5101 Dundas Street West St,M9A 5G8,ETOBICOKE,43.64482425,-79.53198973
1090,Al-Azhar Academy of Canada,,PR,,Private,2074 Kipling Ave,M9W 4J4,Etobicoke,43.71488551,-79.56921492
1091,Al-Ikhlaas Foundation School,,PR,,Private,1245 Martin Grove Road,M9W 4X2,Etobicoke,43.71096831,-79.57853984
1092,Amairah Private School (APS),,PR,,Private,1625 Albion Road,M9V 5H8,Etobicoke,43.74172071,-79.59459863
1093,Burooj Academy,,PR,,Private,15 Bethridge Road,M9W 1M6,Etobicoke,43.70744215,-79.56813029
1094,Can-AIM High School,,PR,,Private,2 Elmhurst Drive,M9W 2J3,Etobicoke,43.72514259,-79.55144757
1095,Grade Learning - Etobicoke,,PR,,Private,1243 Islington Avenue,M8X 1Y9,Etobicoke,43.64592793,-79.52350443
1096,Institute of Canadian Education,,PR,,Private,140 La Rose Avenue,M9P 1B2,Etobicoke,43.68563368,-79.5239531
1097,KNB Learning,,PR,,Private,3 Ringway Crescent,M9W 1X2,Etobicoke,43.71790138,-79.55230439
1098,Mindwerx4kids Learning Centre,,PR,,Private,76 Anglesey Blvd.,M9A 3C1,Etobicoke,43.66514579,-79.52899029
1099,Noori Islamic Institute,,PR,,Private,100 Rexdale Blvd,M9W 1N7,Etobicoke,43.71263214,-79.56404487
1100,Phoenix Montessori School Inc,,PR,,Private,2 STATION ROAD,M8V 2P9,Etobicoke,43.61299501,-79.49368535
1101,Rahmah Academy,,PR,,Private,235 Dixon Road,M9P 2M5,Etobicoke,43.69668765,-79.54391566
1102,Umu Khalid Islamic School,,PR,,Private,2628 Islington Avenue,M9W 2X3,Etobicoke,43.73680112,-79.56539013
1103,Abacus Montessori & Private School,,PR,,Private,4 CREDIT UNION DR.,M4A 2S6,NORTH YORK,43.72544083,-79.3190132
1104,Al-Rassool Islamic School,,PR,,Private,120 BERMONDSEY RD,M4A 1X5,NORTH YORK,43.71772142,-79.31461235
1105,Alathena International - North York,,PR,,Private,1470 Don Mills Road,M3B 2X9,North York,43.75322678,-79.3477334
1106,Alathena International Academy - Finch W,,PR,,Private,222 Finch Avenue West,M2R 1M6,North York,43.77574945,-79.43469581
1107,Belka-Jane School,,PR,,Private,120 Norfinch Drive,M3N 2X9,North York,43.761386,-79.53043658
1108,Birmingham Academy,,PR,,Private,201 Consumers Road,M2J 4G8,North York,43.77210998,-79.3322521
